Brand,Series,Price,Description,link,About
ASUS,ROG Strix G16,"1,329","ASUS ROG Strix G16 (2023) Gaming Laptop, 16inch 16:10 FHD 165Hz, GeForce RTX 4060, Intel Core i7-13650HX, 16GB DDR5, 512GB PCIe SSD, Wi-Fi 6E, Windows 11, G614JV-AS73, Eclipse Gray",https://www.amazon.com/ASUS-ROG-Strix-Gaming-Laptop/dp/B0BV8H8HVD/ref=sr_1_1?qid=1686388560&refinements=p_89%3AASUS%2Cp_n_feature_twenty-seven_browse-bin%3A23710032011&rnid=23710028011&s=computers-intl-ship&sr=1-1,"POWER UP YOUR PLAY - Draw more frames and win more games with Windows 11, a 13th Gen Intel Core i7-13650HX processor, and an NVIDIA GeForce RTX 4060 Laptop GPU at 140W Max TGP.
BLAZING FAST MEMORY AND STORAGE  Multitask swiftly with 16GB of DDR5-4800MHz memory and speed up loading times with 512GB of PCIe 4x4.
ROG INTELLIGENT COOLING  To put this amount of power in a gaming laptop, you need an even better cooling solution. The Strix features Thermal Grizzlys Conductonaut Extreme liquid metal on the CPU, and a third intake fan among other premium features, to allow for better sustained performance over long gaming sessions.
SWIFT VISUALS  The Strix G16 has a fast FHD 165Hz panel to make sure you never miss a moment. It also covers 100% of the sRGB color space and feature Dolby Vision, Adaptive-Sync support, and an 90% screen-to-body ratio for a stellar gaming and viewing experience.
MUX SWITCH WITH ADVANCED OPTIMUS - A MUX Switch increases laptop gaming performance by 5-10% by routing frames directly from the dGPU to the display bypassing the iGPU. With Advanced Optimus the switch between iGPU and dGPU becomes automatic based on the task, optimizing battery life."
ASUS,FX506HF-ES51,699,"ASUS TUF Gaming F15 Gaming Laptop, 15.6inch 144Hz FHD Display, Intel Core i5-11400H Processor, GeForce RTX 2050, 8GB DDR4 RAM, 512GB PCIe SSD Gen 3, Wi-Fi 6, Windows 11, FX506HF-ES51",https://www.amazon.com/ASUS-Display-i5-11400H-Processor-FX506HF-ES51/dp/B0BWHJQMKH/ref=sr_1_2?qid=1686388560&refinements=p_89%3AASUS%2Cp_n_feature_twenty-seven_browse-bin%3A23710032011&rnid=23710028011&s=computers-intl-ship&sr=1-2,"FX506HF-ES51
SUPERCHARGED RTX GRAPHICS - Gameplay graphics are silky smooth with the NVIDIA GeForce RTX 2050 4GB GDDR6 at 70W with Dynamic Boost.
READY FOR ANYTHING - Use your gaming laptop to stream and multitask with ease thanks to an Intel Core i5-11400H with 12M Cache, up to 4.5 GHz, 6 cores and 8GB of blisteringly fast 3200MHz DDR4 RAM on Windows 11.
SWIFT VISUALS  Stay one step ahead of the competition thanks to its 144Hz 15.6inch Full HD (1920 x 1080) IPS Type Display
AMPLE STORAGE FOR ALL YOUR GAMES - Store all your game library, and load them fast on your 512GB PCIe NVMe M.2 SSD to take advantage of the full RTX gaming experience.
MILITARY GRADE TOUGHNESS - Durable MIL-STD-810H military standard lives in the TUF line as the devices are tested against drops, vibration, humidity and extreme temperatures to ensure reliability.
CONNECT TO EVERYTHING - 1x RJ45 LAN port, 3x USB 3.2 Gen 1 Type-A, 1x USB Type C with Thunderbolt 4 and DisplayPort support"
ASUS,ROG Strix G16,"1,999","ASUS ROG Strix G16 (2023) Gaming Laptop, 16inch 16:10 FHD 165Hz, GeForce RTX 4070, Intel Core i9-13980HX, 16GB DDR5, 1TB PCIe SSD, Wi-Fi 6E, Windows 11, G614JI-AS94, Eclipse Gray",https://www.amazon.com/ASUS-ROG-Strix-Gaming-Laptop/dp/B0BV7XQ9V9/ref=sr_1_3?qid=1686388560&refinements=p_89%3AASUS%2Cp_n_feature_twenty-seven_browse-bin%3A23710032011&rnid=23710028011&s=computers-intl-ship&sr=1-3,"POWER UP YOUR PLAY - Draw more frames and win more games with Windows 11, a 13th Gen Intel Core i9-13980HX processor, and an NVIDIA GeForce RTX 4070 Laptop GPU at 140W Max TGP.
BLAZING FAST MEMORY AND STORAGE  Multitask swiftly with 16GB of DDR5-4800MHz memory and speed up loading times with 1TB of PCIe 4x4.
ROG INTELLIGENT COOLING  To put this amount of power in a gaming laptop, you need an even better cooling solution. The Strix features Thermal Grizzlys Conductonaut Extreme liquid metal on the CPU, and a third intake fan among other premium features, to allow for better sustained performance over long gaming sessions.
SWIFT VISUALS  The Strix G16 has a fast FHD 165Hz panel to make sure you never miss a moment. It also covers 100% of the sRGB color space and feature Dolby Vision, Adaptive-Sync support, and an 90% screen-to-body ratio for a stellar gaming and viewing experience.
MUX SWITCH WITH ADVANCED OPTIMUS - A MUX Switch increases laptop gaming performance by 5-10% by routing frames directly from the dGPU to the display bypassing the iGPU. With Advanced Optimus the switch between iGPU and dGPU becomes automatic based on the task, optimizing battery life."
ASUS,TUF Dash 15 (2022),"1,149","ASUS TUF Dash 15 (2022) Gaming Laptop, 15.6inch 144Hz FHD Display, Intel Core i7-12650H, GeForce RTX 3060, 16GB DDR5, 512GB SSD, Thunderbolt 4, Windows 11 Home, Off Black, FX517ZM-AS73",https://www.amazon.com/ASUS-Display-i7-12650H-Thunderbolt-FX517ZM-AS73/dp/B09RMH9B6F/ref=sr_1_4?qid=1686388560&refinements=p_89%3AASUS%2Cp_n_feature_twenty-seven_browse-bin%3A23710032011&rnid=23710028011&s=computers-intl-ship&sr=1-4,"SUPERCHARGED RTX GRAPHICS - Gameplay graphics are silky smooth with the NVIDIA GeForce RTX 3060 6GB GDDR6 at 1050W with Dynamic Boost, with cutting-edge AI features like NVIDIA DLSS and Ray-Tracing.Voltage:20.0 volts
MUX SWITCH BOOST - A MUX Switch lets the GPU communicate directly with the display, increasing performance and decreasing latency
READY FOR ANYTHING - Use your gaming laptop to stream and multi-task with ease thanks to an  Intel Core i7-12650H Processor with 24MB Cache, up to 4.7 GHz, 10 cores (6 P-cores and 4 E-cores) and 16GB of blisteringly fast 4800MHz DDR5 RAM on Windows 11
SWIFT VISUALS  Stay one step ahead of the competition thanks to its 144Hz 15.6inch Full HD (1920 x 1080) IPS Type Display
AMPLE STORAGE FOR ALL YOUR GAMES - Store all your game library, and load them fast on your 512GB PCIe NVMe M.2 SSD to take advantage of the full RTX gaming experience
STAY COOL - Dual Self cleaning Arc Flow fans with anti-dust technology extend system longevity
MILITARY GRADE TOUGHNESS - Durable MIL-STD-810H military standard lives in the TUF line as the devices are tested against drops, vibration, humidity and extreme temperatures to ensure reliability"
ASUS,ROG Strix G15,999,"ASUS ROG Strix G15 (2022) Gaming Laptop, 15.6inch 300Hz IPS FHD Display, NVIDIA GeForce RTX 3050, AMD Ryzen 7 6800H, 16GB DDR5, 1TB SSD, RGB Keyboard, Windows 11 Home, G513RC-IS74,Gray",https://www.amazon.com/ASUS-Display-GeForce-Keyboard-G513RC-IS74/dp/B0B9RZCFSR/ref=sr_1_5?qid=1686388560&refinements=p_89%3AASUS%2Cp_n_feature_twenty-seven_browse-bin%3A23710032011&rnid=23710028011&s=computers-intl-ship&sr=1-5,"SUPERCHARGED RTX GRAPHICS - Gameplay graphics are silky smooth with the NVIDIA GeForce RTX 3050 4GB GDDR6 at 95W with ROG Boost, with cutting-edge AI features like NVIDIA DLSS and Ray-Tracing.Voltage:20.0 volts
MUX SWITCH BOOST - A MUX Switch lets the GPU communicate directly with the display, increasing performance and decreasing latency
ROG INTELLIGENT COOLING - a robust thermal system with Thermal Grizzly Liquid Metal Thermal Compound and self cleaning dual fans with anti-dust technology extend system longevity
READY FOR ANYTHING - Use your gaming laptop to stream and multi-task with ease thanks to an AMD Ryzen 7 6800H CPU with 20MB Cache, up to 4.7 GHz, 8 cores/16 threads and 16GB of blisteringly fast 4800MHz DDR5 RAM on Windows 11 Home
SWIFT VISUALS  Stay one step ahead of the competition thanks to its 300Hz/3ms 15.6inch Full HD (1920 x 1080) IPS Type Display, which covers 100% sRGB color space
AMPLE STORAGE FOR ALL YOUR GAMES - Store all your game library, and load them fast on your 1TB PCIe NVMe M.2 SSD to take advantage of the full RTX gaming experience
AURA SYNC - 4-zone RGB Keyboard, RGB light bar, RGB Logo"
ASUS,TUF Gaming F15,899,"ASUS TUF Gaming F15 (2022) Gaming Laptop, 15.6inch FHD 144Hz Display, GeForce RTX 3050, Intel Core i5-12500H, 16GB DDR4, 512GB PCIe SSD, Wi-Fi 6, Windows 11, FX507ZC-ES53,Mecha Gray",https://www.amazon.com/ASUS-Display-GeForce-i5-12500H-FX507ZC-ES53/dp/B0BTZWF5G2/ref=sr_1_6?qid=1686388560&refinements=p_89%3AASUS%2Cp_n_feature_twenty-seven_browse-bin%3A23710032011&rnid=23710028011&s=computers-intl-ship&sr=1-6,"READY FOR ANYTHING  Jump straight into the action with Windows 11, a 12th Gen Intel Core i5-12500H processor, and NVIDIA GeForce RTX 3050 Laptop GPU at 95W Max TGP.
FAST MEMORY AND STORAGE  Multitask quickly with 16GB of DDR4-3200MHz memory and speed up loading times with 512GB of PCIe 3.0. Upgrading the storage is a breeze with the addition SSD slot.
NEVER MISS A MOMENT  Keep up with the pros thanks to its FHD 144Hz display. With Adaptive-Sync the display synchronizes with the GPUs output to reduce lag, minimize stuttering, and eliminate visual tearing for ultra-smooth gameplay.
BLOW AWAY THE COMPETITION  High core count CPUs create more heat when at full load. The TUF Gaming F15 is equipped to handle its high-power CPU with an upgraded pair of 84-blade Arc Flow Fans.
MUX SWITCH - A MUX Switch increases laptop gaming performance by 5-10% by routing frames directly from the dGPU to the display bypassing the iGPU.
MILITARY GRADE ENDURANCE  True to its TUF Gaming name, the F15 must successfully survive a rigorous battery of MIL-STD-810H tests. Test devices are exposed to drops, vibration, humidity, and extreme temperatures to ensure reliability.
XBOX GAME PASS ULTIMATE  Get a free 90-day pass and gain access to over 100 high-quality games. With games added all the time, theres always something new to play."
ASUS,ROG Strix G17,"1,749","ASUS ROG Strix G17 (2023) Gaming Laptop, 17.3inch QHD 240Hz, GeForce RTX 4060, AMD Ryzen 9 7945HX, 16GB DDR5, 1TB PCIe SSD, Wi-Fi 6E, Windows 11, G713PV-DS94, Eclipse Gray",https://www.amazon.com/ASUS-GeForce-Windows-G713PV-DS94-Eclipse/dp/B0BT5SBS72/ref=sr_1_7?qid=1686388560&refinements=p_89%3AASUS%2Cp_n_feature_twenty-seven_browse-bin%3A23710032011&rnid=23710028011&s=computers-intl-ship&sr=1-7,"ESPORT DOMINATION  Power up with Windows 11, an AMD Ryzen 9 7945HX processor, and an NVIDIA GeForce RTX 4060 Laptop GPU at 140W Max TGP.
BLAZING FAST MEMORY AND STORAGE  Multitask swiftly with 16GB of DDR5-4800MHz memory and speed up loading times with 1TB of PCIe 4x4.
ROG INTELLIGENT COOLING  To put this amount of power in a gaming laptop, you need an even better cooling solution. The Strix features Thermal Grizzlys Conductonaut Extreme liquid metal on the CPU among other premium features, to allow for better sustained performance over long gaming sessions.
COMPETITION HERTZ  As a purpose-built gaming machine, The Strix G17 has a fast QHD 240Hz/3ms panel to help you stay locked to your target. It also covers 100% of the DCI-P3 color space and feature Dolby Vision and Adaptive-Sync support for a stellar viewing experience.
MUX SWITCH WITH ADVANCED OPTIMUS - A MUX Switch increases laptop gaming performance by 5-10% by routing frames directly from the dGPU to the display bypassing the iGPU. With Advanced Optimus the switch between iGPU and dGPU becomes automatic based on the task optimizing battery life.
XBOX GAME PASS ULTIMATE  Get a free 90-day pass and gain access to over 100 high-quality games. With games added all the time, theres always something new to play."
ASUS,ROG Strix G16,"1,599","ASUS ROG Strix G16 (2023) Gaming Laptop, 16inch Nebula Display 16:10 QHD 240Hz, GeForce RTX 4050, Intel Core i9-13980HX, 16GB DDR5, 1TB PCIe SSD, Wi-Fi 6E, Windows 11, G614JU-ES94,Eclipse Gray",https://www.amazon.com/ASUS-Gaming-Laptop-Nebula-Display/dp/B0BWH4H89H/ref=sr_1_8?qid=1686388560&refinements=p_89%3AASUS%2Cp_n_feature_twenty-seven_browse-bin%3A23710032011&rnid=23710028011&s=computers-intl-ship&sr=1-8,"POWER UP YOUR PLAY - Draw more frames and win more games with Windows 11, a 13th Gen Intel Core i9-13980HX processor, and an NVIDIA GeForce RTX 4050 Laptop GPU at 140W Max TGP.
BLAZING FAST MEMORY AND STORAGE  Multitask swiftly with 16GB of DDR5-4800MHz memory and speed up loading times with 1TB of PCIe 4x4.
ROG INTELLIGENT COOLING  To put this amount of power in a gaming laptop, you need an even better cooling solution. The Strix features Thermal Grizzlys Conductonaut Extreme liquid metal on the CPU, and a third intake fan among other premium features, to allow for better sustained performance over long gaming sessions.
ROG NEBULA DISPLAY  The Nebula standard guarantees a premium display with high specs in all fronts for the best visuals no matter the task. Featuring QHD 240Hz/3ms, 100% DCI-P3, Pantone Validation, among other premium features on the Strix G16.
MUX SWITCH WITH ADVANCED OPTIMUS - A MUX Switch increases laptop gaming performance by 5-10% by routing frames directly from the dGPU to the display bypassing the iGPU. With Advanced Optimus the switch between iGPU and dGPU becomes automatic based on the task, optimizing battery life."
ASUS,ZenBook Pro Duo 15,"2,320","ASUS ZenBook Pro Duo 15 OLED UX582 Laptop, 15.6inch OLED 4K UHD Touch Display, Intel Core i7-10870H, 16GB RAM, 1TB SSD, GeForce RTX 3070, ScreenPad Plus, Windows 10 Pro, Celestial Blue, UX582LR-XS74T",https://www.amazon.com/ASUS-i7-10870H-ScreenPad-Celestial-UX582LR-XS74T/dp/B08ZJQVV6G/ref=sr_1_9?qid=1686388560&refinements=p_89%3AASUS%2Cp_n_feature_twenty-seven_browse-bin%3A23710032011&rnid=23710028011&s=computers-intl-ship&sr=1-9,"Professional-grade performance: With a 10th Generation Intel Core i7 processor, 16 GB of RAM, 1 TB SSD, and NVIDIA GeForce RTX 3070 graphics, ASUS Zenbook Pro Duo 15 OLED is a true powerhouse
Amazing visuals: this 15inch touchscreen laptop has a 4K OLED HDR NanoEdge display.  ASUS OLED laptop computers provide ultrasmooth visuals, professional-grade colors and better eye care
Extreme durability: Durable laptop that meets ultra-demanding military standards for durability, giving you protection and peace of mind wherever you go
Enhanced productivity: the tilting ScreenPad Plus  a secondary 14 inch 4K touchscreen that automatically tilts up for comfortable viewing - gives you endless ways to optimize your multitasking experience
Ergonomic features: with the ASUS ErgoLift Stand, tilting ScreenPad Plus, LED NumberPad, and the included detachable palm rest and ASUS active stylus pen, this ASUS laptop will give you a more ergonomic and stable experience
Complimentary 3-month Adobe Creative Cloud subscription with the purchase. Learn more on ASUS website for more details"
ASUS,TUF Gaming F17,"1,229","ASUS TUF Gaming F17 (2023) Gaming Laptop, 17.3inch FHD 144Hz Display, GeForce RTX 4050, AMD Ryzen 7 7735HS, 16GB DDR5, 1TB PCIe 4.0 SSD, Wi-Fi 6, Windows 11, FA707NU-DS74,Mecha Gray",https://www.amazon.com/ASUS-Display-GeForce-Windows-FA707NU-DS74/dp/B0BWH9XCHC/ref=sr_1_10?qid=1686388560&refinements=p_89%3AASUS%2Cp_n_feature_twenty-seven_browse-bin%3A23710032011&rnid=23710028011&s=computers-intl-ship&sr=1-10,"READY FOR ANYTHING  Jump straight into the action with Windows 11, AMD Ryzen 7 7735HS processor, and NVIDIA GeForce RTX 4050 Laptop GPU at 140W Max TGP.
FAST MEMORY AND STORAGE  Multitask quickly with 16GB of DDR5-4800MHz memory and speed up loading times with 1TB of PCIe 4.0. Upgrading the storage is a breeze with the addition SSD slot.
NEVER MISS A MOMENT  Keep up with the pros thanks to its FHD 144Hz display. With Adaptive-Sync the display synchronizes with the GPUs output to reduce lag, minimize stuttering, and eliminate visual tearing for ultra-smooth gameplay.
BLOW AWAY THE COMPETITION  High core count CPUs create more heat when at full load. The TUF Gaming A17 is equipped to handle its high-power CPU with an upgraded pair of 84-blade Arc Flow Fans.
MUX SWITCH WITH ADVANCED OPTIMUS - A MUX Switch increases laptop gaming performance by routing frames directly to the display, while Advanced Optimus optimizes battery life by switching between GPU modes automatically depending on the task.
MILITARY GRADE ENDURANCE  True to its TUF Gaming name, the A17 must successfully survive a rigorous battery of MIL-STD-810H tests. Test devices are exposed to drops, vibration, humidity, and extreme temperatures to ensure reliability.
XBOX GAME PASS ULTIMATE  Get a free 90-day pass and gain access to over 100 high-quality games. With games added all the time, theres always something new to play."
